CC(C)CN1C(=O)N(C)C(=O)c2c1nn(Cc3cccc4ccccc34)c2c5ccncc5,003
N[CH](CC(=O)N1Cc2ccccc2C[CH]1C(N)=O)Cc3ccccc3F,008
C[CH](C[P](O)(=O)[CH](N)Cc1ccccc1)C(O)=O,00F
C(Cn1cccc1)Oc2ccc3[nH]ccc3c2,00G
N[CH](Cc1ccccc1)[P](O)(=O)CCC(O)=O,00H
CNC(=O)c1c(C)oc2cc(Oc3ccnc4cc(OCCN5CCOCC5)ccc34)ccc12,00J
N[CH](C(c1ccccc1)c2ccccc2)C(O)=O,00O
N[CH]1CC[CH](CC1)CNC(=O)[CH]2C=CCN3N2C(=O)N(CC[S](=O)(=O)c4ccccc4)C3=O,00P
N[C]1(CCN2CC[CH](N2C1=O)C(O)=O)Cc3ccccc3,00U
N[CH](CCCNC(N)=N)[CH](O)c1sccn1,00Y
OC(=O)c1cnn(c1)c2[nH]c3cc(F)c(Cl)cc3n2,014
N[CH](C[CH](O)[CH](N)Cc1ccccc1)Cc2ccccc2,015
[O-][N+](=O)c1cc(ccc1NCc2cscc2)C(F)(F)F,018
N[CH](Cc1c[nH]c2ccccc12)C(=O)C(F)(F)C(F)(F)F,01C
OC(=O)c1oc2cc3c(ccc4oc(cc34)C(O)=O)cc2c1,01I
O[CH](N[CH](C(c1ccccc1)c2ccccc2)C(O)=O)N3CCOCC3,01J
OC(=O)CN[CH](CC1CCCCC1)C(O)=O,01N
COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)ccc1N5CCOCC5,01P
CC(C)C[CH](C(=O)NO)C(=O)N[CH](C)C(=O)NCC(N)=O,01S
CCc1nc(CC(C)(C)C)c(CN)c(c2ccc(C)cc2)c1CC(O)=O,01T
[NH3+][CH](CCNc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O)C([O-])=O,01W
[O-][N+](=O)c1cc(ccc1NCc2occc2)C(F)(F)F,020
Cc1cc(ccc1n2c(CCC(O)=O)ccc2c3ccc(cc3)n4ccnc4)C(N)=O,022
OC(=O)COc1c(Br)c(sc1C(O)=O)c2cccc(NC3CCCCC3)c2,024
CC(C)N1N=C(Nc2cc(C)[nH]n2)c3ccc(cc3C1=O)N4CCN(C)CC4,027
CCCCCCC(O)([P](O)(O)=O)[P](O)(O)=O,028
COC=CC[CH](N)[P](O)(O)(Oc1ccccc1)Oc2ccccc2,02E
N[CH](C[CH](O)[CH](N)Cc1ccc(cc1)c2cccnc2)Cc3ccccc3,02H
C[n+]1ccc(Cl)cc1CNC(=O)[CH]2CCCN2C(=O)[CH](N)Cc3ccccc3,02P
OC(=O)c1ccc(OCc2ccccc2)cc1,02S
NC(=O)c1sc(Nc2ccccc2)nc1N,02Z
CCC[S](=O)(=O)Nc1ccc(F)c(c1F)C(=O)c2c[nH]c3ncc(cc23)c4ccc(Cl)cc4,032
CC(C)[CH](N[S](=O)(=O)c1ccc(cc1)c2ccc(NC(=O)c3oc4ccccc4c3)cc2)C(O)=O,033
COc1ccccc1N2C(=O)c3c(Cl)cccc3N=C2CSc4ncnc5[nH]cnc45,039
Cc1ccccc1n2ncc(c2N)C(=O)c3cccc(c3)C4CCN(CC4)[S](C)(=O)=O,03C
CC1(C)CC(CC(C)(C)N1)NC(=O)C(=O)Nc2ccc(Cl)cc2,03G
OC(=O)CCc1ccc(cc1)c2scc(c2)c3ccccc3,03J
NC(=O)c1ccc(cc1)C(=O)Nc2cc([nH]n2)C3CC3,03K
Cc1c(Cl)ccc2c(c[nH]c12)C=C3NC(=O)N(Cc4ccc(F)c(F)c4)C3=O,03M
CN1[CH](CNc2ccc(cc2)C(O)=O)CNC3=C1C(=O)NC(=N3)N,03O
CCC(O)=C(C#N)C(=O)Nc1ccc(c2ccc(F)cc2)c(c1)C(=O)OC,03U
COc1cc2nccc(Oc3ccc(NC(=O)C4=C(C)N(C)N(C4=O)c5ccccc5)cc3F)c2cc1OC,03X
Nc1nc(Nc2ccc(cc2)[S](N)(=O)=O)sc1C(=O)c3ccccc3,03Z
Oc1cc(C=C)c2oc(nc2c1)c3ccc(O)c(F)c3,041
COc1ccc2c(Oc3ccc(NC(=O)C4=C(C)N(C[CH](C)O)N(C4=O)c5ccccc5)cc3F)ccnc2c1,044
Cc1ccc(cc1)n2cc(CNCC3CCCCC3)c4ccccc24,047
Fc1ccc(Nc2ccc3C(=O)CCCCc3c2)cc1NC(=O)c4ccccc4,048
CC(=O)N[CH](Cc1ccccc1)[CH](O)[C]2(C)CO2,049
Oc1ccc2N=C3C=CC(=O)C=C3Oc2c1,04G
Cc1ccc(NC(=O)C=Cc2ccccc2)cc1C(=O)Nc3cnc4[nH]c(nc4c3)c5ccccc5,04L
N[CH]1[CH](O)O[CH]2CO[CH](O[CH]2[CH]1O)c3ccccc3,04N
N[CH]1[CH](O)O[CH]2CO[CH](CCc3ccccc3)O[CH]2[CH]1O,04O
OC(=O)Cn1nc(c2CCCCc12)C(F)(F)F,04R
CC(=O)Nc1ccc(Nc2ccc(cc2[N+]([O-])=O)[S](C)(=O)=O)cc1,04T
OC(=O)[CH]1CC=C(CN1)CN2CCOCC2,04X
COc1cccc(c1)C(=O)c2sc(Nc3ccc(cc3)[S](N)(=O)=O)nc2N,04Z
OC(=O)[CH]1CC[CH](N[S](=O)(=O)c2ccc3cc(OCc4ccc(cc4F)C#N)ccc3c2)[CH](C1)C(O)=O,051
Nc1cc(Cn2c3ccc(cc3c(C4=CC=CNC4=O)c2C(O)=O)C(F)(F)F)ccn1,053
Nc1cc(Cn2c3ccc(cc3c(N4C(=O)Nc5cscc5C4=O)c2C(O)=O)C(F)(F)F)ccn1,054
OC(=O)c1cccc(CSCc2ccc(Cl)cc2Cl)c1,056
Cn1cc(c2[nH]c3ncccc3c2)c4cc(ccc14)C(=O)NC(C)(C)CO,057
OC(=O)c1n(Cc2ccccc2)c3ccc(Cl)cc3c1c4ccccc4F,058
O=C1NCC2(CCNCC2)c3[nH]c(cc13)c4ccnc(n4)c5ccc6OCOc6c5,05B
CC[C]1(O)C=Cc2ccc(nc12)N3N(CC=C)C(=O)c4cnc(Nc5ccc(cc5)N6CCN(C)CC6)nc34,05J
CCCCCCC[Se][CH]1O[CH](CO)[CH](O)[CH](O)[CH]1O,05L
C[CH]1CNCCCc2n(c3CC(C)(C)CC(=O)c3c2C)c4ccc(C(N)=O)c(N1)c4,05S
CN1CCC(CC1)C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2,05X
CCCCC1=Nc2ccc(O)cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5,061
NCc1ccc(Cl)cc1CNC(=O)[CH]2CCCN2C(=O)[C]3(O)c4ccccc4c5c[n+]([O-])ccc35,062
COc1cccc(Nc2c(cnc3c(C)cc(cc23)[S](=O)(=O)c4cccc(c4)C(=O)N(C)C)C(N)=O)c1,066
CC(=O)c1ccc(cc1)c2ccc(CC[CH](O)CC(O)=O)cc2,068
OC(=O)CCCCCNCC1=Nc2c(sc3cc(Br)cnc23)C(=O)N1,06E
C[CH]1Nc2cc(ccc2C(N)=O)n3c(CCCN(C)C1=O)c(C)c4C(=O)CC(C)(C)Cc34,06H
Cc1scnc1COc2cc(Cl)cc(c2)C3=CC(=CN(C3=O)c4cccnc4)C5=CNC(=O)NC5=O,06I
Cc1c2CCCN3CCC[CH]3CNc4cc(ccc4C(N)=O)n2c5CC(C)(C)CC(=O)c15,06J
C[S](=N)(=O)C1(CC1)c2cc(nc(n2)c3ccnc4[nH]ccc34)C5=CN(CCC=C)C(=O)c6[nH]ccc56,06M
CCCNc1sc2ncc(n2n1)c3ccc(O)cc3,06N
C[n+]1ccc(CNC(=O)[CH]2CCCN2C(=O)[CH](N)Cc3ccccc3)cc1,06P
FC(F)(F)c1ccc(cc1)C2=Nc3ccccc3C(=O)N2,06R
C[CH](N)C(=O)N1CCc2n(c3CC(C)(C)CC(=O)c3c2C)c4ccc(C(N)=O)c(N[CH](C)[CH](C)C1)c4,06T
CCc1nc(N)nc(N)c1C#C[CH](C)c2cc(OC)cc(c2)c3ccncc3,06U
CCc1nc(N)nc(N)c1C#C[CH](C)c2cc(OC)cc(c2)N3CCOCC3,06V
CCc1nc(N)nc(N)c1C#C[CH](C)c2cc(OC)cc(c2)c3ccncc3,06W
CCOC(=O)C1=C(COCCN)NC(=C([CH]1c2ccccc2Cl)C(=O)OC)C,06X
Nc1nc(Nc2cccc(F)c2)sc1C(=O)c3ccccc3,06Z
N[CH](Cc1ccccc1)[CH](O)[CH]2O[CH]2Cc3ccccc3,070
COc1ccc(cc1Nc2ncc3CCc4c(nn(C)c4c3n2)C(N)=O)N5CCN(C)CC5,071
O[CH](CCc1ccc(cc1)c2ccccc2)CC(O)=O,077
N[CH](Cc1ccccc1)[CH](O)[CH](N)[CH](O)Cc2ccccc2,078
COC(=O)[CH]1C[CH](O)[CH](O)C[CH]1C(=O)OC,07B
CSc1ncc2cc3cnccc3c(c2n1)[N+]([O-])=O,07C
CC1=C(Cc2ccccc2)C(=O)N(CCc3ccccc3)C(=N1)c4cccc(F)c4O,07F
CC(C)(C)NC(=O)[C+](N(Cc1ccc(F)c(F)c1)C=O)c2c([nH]c3cc(Cl)ccc23)C(O)=O,07G
O=C(N1CCN(CC1)CC2=Cc3ccccc3OC2)c4cccc(c4)c5[nH]ncc5,07H
