#"Steps"	"Temperature (K)"	"298K Weight"	"322.602K Weight"	"349.235K Weight"	"378.066K Weight"	"409.278K Weight"	"443.067K Weight"	"479.645K Weight"	"519.243K Weight"	"562.109K Weight"	"608.515K Weight"	"658.752K Weight"	"713.136K Weight"	"772.01K Weight"	"835.745K Weight"	"904.741K Weight"	"979.433K Weight"	"1060.29K Weight"	"1147.83K Weight"	"1242.59K Weight"	"1345.17K Weight"	"1456.22K Weight"	"1576.44K Weight"	"1706.59K Weight"	"1847.48K Weight"	"2000K Weight"
1000	1847.48	0	1	3	5	5	6	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	5	3	2	2
2000	1456.22	0	1	3	5	5	6	7	7	7	7	7	7	7	7	7	7	7	7	6	6	1	-1	-4	-8	-9
3000	1345.17	0	1	3	5	5	6	7	7	7	7	7	7	7	7	7	7	7	5	2	-1	-4	-7	-10	-13	-14
4000	2000	0	1	3	5	5	6	7	7	7	7	7	7	7	7	7	7	5	2	-2	-6	-8	-13	-14	-18	-21
5000	1147.83	0	1	3	5	5	6	7	7	7	7	7	7	7	7	6	4	1	-3	-6	-10	-12	-15	-19	-22	-25
6000	1706.59	0	1	3	5	5	6	7	7	7	7	7	7	7	7	3	0	-2	-7	-9	-15	-17	-18	-22	-25	-29
7000	979.433	0	1	3	5	5	6	7	7	7	7	7	7	7	5	-1	-3	-5	-9	-12	-16	-20	-23	-27	-30	-33
8000	1147.83	0	1	3	5	5	6	7	7	7	7	7	7	3	0	-4	-7	-10	-13	-17	-19	-22	-25	-29	-31	-33
9000	1242.59	0	1	3	5	5	6	7	7	7	7	5	4	1	-3	-7	-9	-13	-16	-20	-21	-26	-28	-31	-33	-36
10000	1706.59	0	1	3	5	5	6	7	7	7	7	3	0	-4	-7	-10	-13	-14	-18	-22	-24	-28	-28	-33	-36	-39
11000	1060.29	0	1	3	5	5	6	7	7	7	7	3	0	-4	-7	-10	-13	-17	-19	-24	-28	-30	-35	-39	-43	-47
12000	1147.83	0	1	3	5	5	6	7	7	7	7	3	0	-4	-7	-10	-15	-18	-24	-27	-33	-36	-41	-43	-48	-50
13000	772.01	0	1	3	5	5	6	7	7	6	4	1	-3	-8	-10	-14	-17	-22	-25	-30	-33	-39	-41	-46	-49	-53
14000	519.243	0	1	3	5	5	6	6	1	0	-3	-5	-8	-9	-13	-15	-19	-24	-25	-30	-33	-39	-41	-46	-49	-53
15000	713.136	0	1	1	1	2	1	-2	-2	-4	-6	-10	-10	-10	-13	-15	-19	-24	-25	-30	-33	-39	-41	-46	-49	-53
16000	1060.29	0	1	1	1	2	1	-2	-3	-6	-8	-11	-12	-15	-18	-21	-23	-26	-28	-33	-35	-39	-42	-47	-49	-53
17000	322.602	0	0	0	-1	-3	-5	-5	-7	-8	-10	-13	-16	-17	-20	-21	-25	-26	-30	-33	-35	-39	-42	-47	-49	-53
18000	298	0	-1	-2	-4	-3	-5	-7	-7	-8	-9	-12	-13	-15	-17	-18	-22	-23	-27	-30	-32	-36	-39	-44	-46	-50
19000	713.136	0	1	-1	-1	-3	-2	-4	-4	-7	-8	-8	-11	-12	-13	-13	-17	-18	-22	-25	-27	-31	-34	-39	-41	-45
20000	1345.17	0	1	-1	-1	-3	-2	-4	-4	-7	-10	-11	-13	-14	-16	-18	-21	-23	-25	-28	-31	-33	-35	-40	-41	-45
21000	2000	0	1	-1	-1	-3	-2	-4	-4	-7	-10	-11	-13	-14	-16	-18	-21	-26	-28	-30	-34	-38	-41	-46	-47	-51
22000	1345.17	0	1	-1	-1	-3	-2	-4	-4	-7	-10	-11	-13	-15	-19	-21	-25	-28	-31	-35	-39	-42	-45	-47	-50	-53
23000	658.752	0	1	-1	-1	-3	-2	-4	-5	-7	-12	-14	-17	-19	-22	-26	-28	-32	-33	-38	-41	-42	-46	-48	-51	-54
24000	409.278	0	-1	-2	-6	-6	-7	-9	-10	-12	-14	-16	-19	-21	-23	-26	-28	-32	-33	-38	-41	-42	-46	-48	-51	-54
25000	322.602	0	-0.5	-2	-2	-3	-4	-6	-7	-8	-11	-11	-13	-16	-18	-20	-22	-26	-27	-32	-35	-36	-40	-42	-45	-48
26000	322.602	0	-0.5	0	-1	-0.5	-1	-2	-2.5	-4	-6.5	-7	-8.5	-11.5	-13.5	-15.5	-17.5	-21.5	-22.5	-27.5	-30.5	-31.5	-35.5	-37.5	-40.5	-43.5
27000	1147.83	0	0	-0.5	-1	-1.5	-1.5	-3	-4	-5	-6	-8	-10	-12	-15	-16	-19	-21	-23	-27	-30	-31	-35	-37	-40	-43
28000	1242.59	0	0	-0.5	-1	-1.5	-1.5	-3	-4	-5	-6.5	-8	-11	-12.5	-15	-17.5	-21	-22.5	-27	-28.5	-31.5	-33.5	-36	-39	-40	-43.5
29000	835.745	0	0	-0.5	-1	-1.5	-1.5	-3	-4	-5.5	-8.5	-10	-12.5	-15	-18	-20.5	-23.5	-24.5	-27	-29	-32	-33.5	-36	-39	-40	-43.5
30000	1847.48	0	0	-0.5	-1	-1.5	-1.5	-3	-4	-5.5	-8.5	-10	-12.5	-15	-19	-20.5	-23.5	-25	-27	-30	-32.5	-34	-37.5	-41	-46.5	-50
